Weapon,CrimeId
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",350629
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",97104
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",972868
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",979412
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",559590
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",200184
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",382398
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",255847
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",198539
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",741394
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",739547
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",781562
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",970846
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",705522
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",576513
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",827264
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",24619
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",318285
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",667353
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",147282
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",936607
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",241414
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",653789
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",940691
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",864787
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",848406
"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",176986
