CrimeId,Name
25649,77th Street
697116,77th Street
459249,77th Street
78994,77th Street
954113,77th Street
128937,77th Street
177138,77th Street
98160,77th Street
410836,77th Street
714039,77th Street
862140,77th Street
37145,77th Street
978522,77th Street
872667,77th Street
240680,77th Street
942875,77th Street
781147,77th Street
449841,77th Street
886133,77th Street
592293,77th Street
523029,77th Street
19582,77th Street
194997,77th Street
578603,77th Street
716283,77th Street
302090,77th Street
176837,77th Street
869959,77th Street
763393,77th Street
806310,77th Street
694627,77th Street
545094,77th Street
168356,77th Street
32875,77th Street
61492,77th Street
626507,77th Street
768884,77th Street
237466,77th Street
167053,77th Street
57918,77th Street
964338,77th Street
960324,77th Street
8682,77th Street
167837,77th Street
694437,77th Street
453827,77th Street
739073,77th Street
319106,77th Street
294819,77th Street
596178,77th Street
603457,77th Street
929226,77th Street
71329,77th Street
666228,77th Street
579795,77th Street
108260,77th Street
425719,77th Street
732927,77th Street
920943,77th Street
151658,77th Street
950416,77th Street
612717,77th Street
269382,77th Street
914697,77th Street
308344,77th Street
961535,77th Street
291895,77th Street
514181,77th Street
561047,77th Street
23674,77th Street
214904,77th Street
854317,77th Street
625876,77th Street
268349,77th Street
385333,77th Street
522805,77th Street
268695,77th Street
475666,77th Street
269429,77th Street
223332,77th Street
888801,77th Street
496840,77th Street
533028,77th Street
843456,77th Street
388382,77th Street
98048,77th Street
415237,77th Street
534759,77th Street
228756,77th Street
771263,77th Street
521298,77th Street
231066,77th Street
350752,77th Street
523761,77th Street
845428,77th Street
695130,77th Street
730770,77th Street
726659,77th Street
333554,77th Street
244337,77th Street
574937,77th Street
365575,77th Street
3004,77th Street
190538,77th Street
599081,77th Street
602901,77th Street
812784,77th Street
17647,77th Street
470339,77th Street
374640,77th Street
63454,77th Street
154435,77th Street
649499,77th Street
893833,77th Street
842414,77th Street
25380,77th Street
791708,77th Street
631008,77th Street
713723,77th Street
368561,77th Street
603469,77th Street
969432,77th Street
963553,77th Street
598840,77th Street
251897,77th Street
322971,77th Street
141862,77th Street
856614,77th Street
875635,77th Street
406969,77th Street
974021,77th Street
254932,77th Street
438660,77th Street
758288,77th Street
271257,77th Street
797170,77th Street
843053,77th Street
541045,77th Street
864746,77th Street
416061,77th Street
832709,77th Street
218260,77th Street
576489,77th Street
4899,77th Street
970443,77th Street
361034,77th Street
729590,77th Street
758324,77th Street
126276,77th Street
11014,77th Street
18575,77th Street
550129,77th Street
782085,77th Street
38989,77th Street
778385,77th Street
324376,77th Street
977577,77th Street
864762,77th Street
309648,77th Street
826097,77th Street
610607,77th Street
710099,77th Street
545046,77th Street
789708,77th Street
160312,77th Street
110215,77th Street
240068,77th Street
816139,77th Street
80578,77th Street
866823,77th Street
137486,77th Street
35547,77th Street
707155,77th Street
100684,77th Street
237399,77th Street
401306,77th Street
963042,77th Street
57599,77th Street
954723,77th Street
282780,77th Street
159650,77th Street
667604,77th Street
272087,77th Street
61969,77th Street
900017,77th Street
529278,77th Street
152249,77th Street
396127,77th Street
766749,77th Street
886228,77th Street
873585,77th Street
639012,77th Street
916673,77th Street
78982,77th Street
287617,77th Street
838349,77th Street
57533,77th Street
605635,77th Street
799032,77th Street
368549,77th Street
832564,77th Street
465666,77th Street
168359,77th Street
34599,77th Street
361974,77th Street
529252,77th Street
592145,77th Street
583778,77th Street
814106,77th Street
883557,77th Street
255058,77th Street
693003,77th Street
384382,77th Street
723616,77th Street
314289,77th Street
970246,77th Street
152895,77th Street
216501,77th Street
621714,77th Street
611459,77th Street
322829,77th Street
35228,77th Street
49010,77th Street
474956,77th Street
130742,77th Street
895061,77th Street
195700,77th Street
161671,77th Street
109548,77th Street
746677,77th Street
95118,77th Street
642889,77th Street
924817,77th Street
472475,77th Street
191595,77th Street
125595,77th Street
597887,77th Street
605741,77th Street
834214,77th Street
722261,77th Street
411277,77th Street
900305,77th Street
49831,77th Street
463427,77th Street
773770,77th Street
823727,77th Street
624588,77th Street
467261,77th Street
147083,77th Street
193971,77th Street
65399,77th Street
243358,77th Street
382330,77th Street
327677,77th Street
621724,77th Street
442973,77th Street
973810,77th Street
947847,77th Street
352215,77th Street
229865,77th Street
760443,77th Street
872869,77th Street
696098,77th Street
712592,77th Street
696634,77th Street
2569,77th Street
347143,77th Street
149422,77th Street
372907,77th Street
457370,77th Street
593919,77th Street
701254,77th Street
974120,77th Street
967401,77th Street
486688,77th Street
911914,77th Street
954828,77th Street
314255,77th Street
673726,77th Street
790814,77th Street
677896,77th Street
523191,77th Street
774130,77th Street
868898,77th Street
92439,77th Street
179930,77th Street
372955,77th Street
500970,77th Street
289289,77th Street
206893,77th Street
65062,77th Street
973867,77th Street
239710,77th Street
478329,77th Street
7015,77th Street
156287,77th Street
593186,77th Street
834937,77th Street
197909,77th Street
409100,77th Street
113264,77th Street
512911,77th Street
872565,77th Street
497855,77th Street
977584,77th Street
587912,77th Street
358129,77th Street
853639,77th Street
780965,77th Street
187346,77th Street
399332,77th Street
491118,77th Street
485685,77th Street
567370,77th Street
236181,77th Street
281387,77th Street
706534,77th Street
158150,77th Street
357908,77th Street
120314,77th Street
459288,77th Street
748713,77th Street
120720,77th Street
292679,77th Street
724898,77th Street
579342,77th Street
540897,77th Street
39844,77th Street
45067,77th Street
831564,77th Street
975546,77th Street
681018,77th Street
168793,77th Street
844599,77th Street
239873,77th Street
964284,77th Street
367842,77th Street
368801,77th Street
781671,77th Street
245094,77th Street
110709,77th Street
637638,77th Street
338358,77th Street
415306,77th Street
136195,77th Street
36337,77th Street
61954,77th Street
240066,77th Street
225531,77th Street
140566,77th Street
425862,77th Street
454600,77th Street
393073,77th Street
154056,77th Street
685635,77th Street
47070,77th Street
698319,77th Street
817688,77th Street
151791,77th Street
78903,77th Street
448636,77th Street
493583,77th Street
87063,77th Street
121215,77th Street
893356,77th Street
213839,77th Street
150185,77th Street
746752,77th Street
409442,77th Street
543938,77th Street
106920,77th Street
834738,77th Street
913943,77th Street
372260,77th Street
386256,77th Street
799334,77th Street
522058,77th Street
599062,77th Street
733424,77th Street
319047,77th Street
514185,77th Street
699008,77th Street
38748,77th Street
104515,77th Street
413434,77th Street
750533,77th Street
610464,77th Street
448984,77th Street
318740,77th Street
409378,77th Street
12844,77th Street
651182,77th Street
694137,77th Street
917759,77th Street
683873,77th Street
219559,77th Street
277977,77th Street
291753,77th Street
455413,77th Street
14081,77th Street
838571,77th Street
1711,77th Street
181356,77th Street
118984,77th Street
636632,77th Street
786737,77th Street
389320,77th Street
960893,77th Street
232350,77th Street
362821,77th Street
12751,77th Street
887915,77th Street
1935,77th Street
661621,77th Street
588676,77th Street
361395,77th Street
303666,77th Street
203182,77th Street
157207,77th Street
4153,77th Street
33425,77th Street
363911,77th Street
345555,77th Street
980513,77th Street
805283,77th Street
105062,77th Street
564343,77th Street
432897,77th Street
974179,77th Street
199412,77th Street
571446,77th Street
46412,77th Street
701893,77th Street
163820,77th Street
99265,77th Street
715396,77th Street
764914,77th Street
923749,77th Street
585258,77th Street
773077,77th Street
449669,77th Street
963880,77th Street
822582,77th Street
159460,77th Street
729013,77th Street
980103,77th Street
155238,77th Street
491652,77th Street
546792,77th Street
752224,77th Street
749168,77th Street
256294,77th Street
44272,77th Street
208323,77th Street
838115,77th Street
394213,77th Street
426645,77th Street
536171,77th Street
401285,77th Street
62846,77th Street
278877,77th Street
848486,77th Street
132936,77th Street
137832,77th Street
201808,77th Street
898875,77th Street
337739,77th Street
4996,77th Street
900264,77th Street
514298,77th Street
549599,77th Street
355364,77th Street
44839,77th Street
304291,77th Street
2335,77th Street
218476,77th Street
485471,77th Street
387728,77th Street
328256,77th Street
952514,77th Street
368158,77th Street
639000,77th Street
803776,77th Street
872870,77th Street
486907,77th Street
8126,77th Street
740837,77th Street
774341,77th Street
555446,77th Street
952516,77th Street
233047,77th Street
361806,77th Street
757882,77th Street
750573,77th Street
677642,77th Street
314325,77th Street
177497,77th Street
25903,77th Street
446084,77th Street
969463,77th Street
761471,77th Street
762839,77th Street
800991,77th Street
459849,77th Street
111348,77th Street
168685,77th Street
19895,77th Street
274125,77th Street
449626,77th Street
239293,77th Street
30431,77th Street
965899,77th Street
426164,77th Street
251946,77th Street
761486,77th Street
550117,77th Street
969921,77th Street
78961,77th Street
342619,77th Street
144715,77th Street
637192,77th Street
600677,77th Street
685108,77th Street
974707,77th Street
882809,77th Street
674801,77th Street
479126,77th Street
328403,77th Street
774028,77th Street
778482,77th Street
519684,77th Street
559719,77th Street
502109,77th Street
548797,77th Street
747120,77th Street
532038,77th Street
89228,77th Street
495602,77th Street
878567,77th Street
975312,77th Street
477391,77th Street
62427,77th Street
965180,77th Street
278014,77th Street
324347,77th Street
371938,77th Street
401215,77th Street
334964,77th Street
816063,77th Street
142890,77th Street
693709,77th Street
854632,77th Street
235733,77th Street
851051,77th Street
813725,77th Street
376655,77th Street
729017,77th Street
122084,77th Street
123207,77th Street
489015,77th Street
478150,77th Street
831376,77th Street
937101,77th Street
12434,77th Street
181637,77th Street
619715,77th Street
752085,77th Street
895290,77th Street
699254,77th Street
392011,77th Street
760145,77th Street
207274,77th Street
68974,77th Street
859205,77th Street
945988,77th Street
162779,77th Street
582784,77th Street
265019,77th Street
192805,77th Street
349426,77th Street
480346,77th Street
470243,77th Street
28312,77th Street
375225,77th Street
863613,77th Street
872924,77th Street
864527,77th Street
771029,77th Street
637567,77th Street
830518,77th Street
91206,77th Street
154252,77th Street
149407,77th Street
696338,77th Street
384611,77th Street
537556,77th Street
229417,77th Street
313,77th Street
200798,77th Street
296145,77th Street
814579,77th Street
829505,77th Street
594168,77th Street
881877,77th Street
13284,77th Street
27490,77th Street
923930,77th Street
318271,77th Street
616512,77th Street
851385,77th Street
148822,77th Street
660817,77th Street
871367,77th Street
965726,77th Street
532914,77th Street
832819,77th Street
642575,77th Street
776226,77th Street
774128,77th Street
799736,77th Street
715823,77th Street
185425,77th Street
214547,77th Street
964296,77th Street
858256,77th Street
704196,77th Street
552446,77th Street
70041,77th Street
56197,77th Street
529358,77th Street
424,77th Street
46553,77th Street
232710,77th Street
555909,77th Street
619090,77th Street
248413,77th Street
