CrimeId,VictimId
55700,55700
248406,248406
391421,391421
517898,517898
595455,595455
81658,81658
554196,554196
490444,490444
534933,534933
193762,193762
895836,895836
249473,249473
698394,698394
287699,287699
370483,370483
356874,356874
196814,196814
459214,459214
413259,413259
532668,532668
254660,254660
628326,628326
935231,935231
858372,858372
468775,468775
22805,22805
25633,25633
138259,138259
330060,330060
805212,805212
270118,270118
246039,246039
364449,364449
825269,825269
820045,820045
971559,639520
59565,59565
966008,169055
898153,898153
293844,293844
796463,796463
185611,185611
232435,232435
14406,14406
294883,294883
592884,592884
234939,234939
694109,694109
943867,943867
120956,120956
154618,154618
164864,164864
965726,169853
971957,552519
971229,487638
76392,76392
604346,604346
805261,805261
290771,290771
906760,906760
51677,51677
270721,270721
199167,199167
156490,156490
973284,448576
67552,67552
945089,945089
589342,589342
641743,641743
262686,262686
725490,725490
146154,146154
599910,599910
872974,872974
73591,73591
848242,848242
694953,694953
792277,792277
200134,200134
638717,638717
276114,276114
812136,812136
973224,519179
812445,812445
551997,551997
395714,395714
81781,81781
237494,237494
377000,377000
892263,892263
339352,339352
638934,638934
825922,825922
106038,106038
459305,459305
804220,804220
633099,633099
582991,582991
556664,556664
215839,215839
457103,457103
543467,543467
102224,102224
859040,859040
604071,604071
77839,77839
261101,261101
38252,38252
865063,865063
100387,100387
662475,662475
915993,915993
929911,929911
779607,779607
749879,749879
271034,271034
973897,527732
546803,546803
141223,141223
521023,521023
571408,571408
68557,68557
847284,847284
680293,680293
289023,289023
94597,94597
723429,723429
544687,544687
552184,552184
150332,150332
57324,57324
943604,943604
142132,142132
361137,361137
80934,80934
404633,404633
91788,91788
208204,208204
65312,65312
944422,944422
908366,908366
690950,690950
182634,182634
972855,571340
136032,136032
704650,704650
952393,952393
497321,497321
964252,137640
144047,144047
484110,484110
213119,213119
62852,62852
304014,304014
354391,354391
225641,225641
697436,697436
580963,580963
466744,466744
277580,277580
518067,518067
639664,639664
59209,59209
817900,817900
698038,698038
939784,939784
869577,869577
127889,127889
786936,786936
868974,868974
435340,435340
188926,188926
349968,349968
720613,720613
740879,740879
961458,961458
447886,447886
157647,157647
90932,90932
473040,473040
923785,923785
940459,940459
650637,650637
624638,624638
302950,302950
86722,86722
923563,923563
357720,357720
214825,214825
800965,800965
71116,71116
621341,621341
64668,64668
73558,73558
80155,80155
583089,583089
341453,341453
595581,595581
902573,902573
957878,957878
307865,307865
350248,350248
438582,438582
409294,409294
661070,661070
956901,956901
471859,471859
26175,26175
970770,303040
776025,776025
437720,437720
276385,276385
961017,961017
333571,333571
510146,510146
485491,485491
816032,816032
430177,430177
63528,63528
185438,185438
502521,502521
289991,289991
201177,201177
86698,86698
674666,674666
903429,903429
857180,857180
619400,619400
62522,62522
585901,585901
237089,237089
670044,670044
806204,806204
335174,335174
866694,866694
719841,719841
412080,412080
586974,586974
116807,116807
385497,385497
891001,891001
738993,738993
215352,215352
295145,295145
396517,396517
631722,631722
129033,129033
755200,755200
533190,533190
916401,916401
313059,313059
402597,402597
164973,164973
244808,244808
53180,53180
777731,777731
876717,876717
806557,806557
295173,295173
616038,616038
90827,90827
850566,850566
394079,394079
628894,628894
693919,693919
354407,354407
518553,518553
272372,272372
744122,744122
726029,726029
804055,804055
180023,180023
122002,122002
678042,678042
676149,676149
84114,84114
812103,812103
466246,466246
697949,697949
233687,233687
492851,492851
315461,315461
799558,799558
621901,621901
276321,276321
742732,742732
414718,414718
288755,288755
81115,81115
472720,472720
586727,586727
549590,549590
432485,432485
41408,41408
174654,174654
771634,771634
894890,894890
864150,864150
510268,510268
943306,943306
48789,48789
433963,433963
287020,287020
348951,348951
178333,178333
978073,781866
545979,545979
556857,556857
633985,633985
685647,685647
23282,23282
102594,102594
196883,196883
700323,700323
150421,150421
118961,118961
