CrimeId,Type,Subtype
133310,VEHICLE STOLEN,VEHICLE - STOLEN
491904,VEHICLE STOLEN,VEHICLE - STOLEN
638487,ASSAULT,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
247686,BURGLARY,BURGLARY FROM VEHICLE
78982,ASSAULT,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
311828,ASSAULT,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
526097,THEFT,THEFT OF IDENTITY
192781,ASSAULT,BATTERY - SIMPLE ASSAULT
779027,PICKPOCKET,PICKPOCKET
398153,VANDALISM,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
287617,VEHICLE STOLEN,VEHICLE - STOLEN
302629,THEFT,THEFT PLAIN - PETTY ($950 & UNDER)
474974,BURGLARY,BURGLARY FROM VEHICLE
158364,THEFT,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
311210,THEFT,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
318128,VEHICLE STOLEN,VEHICLE - STOLEN
465792,ASSAULT,INTIMATE PARTNER - SIMPLE ASSAULT
626311,VEHICLE STOLEN,VEHICLE - STOLEN
127579,ASSAULT,OTHER ASSAULT
889406,THEFT,SHOPLIFTING - PETTY THEFT ($950 & UNDER)
933764,"TELEPHONE CALLS, LEWD OR THREATENING","LETTERS, LEWD  -  TELEPHONE CALLS, LEWD"
223355,THEFT,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
527684,VANDALISM,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"
834593,VANDALISM,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"
395313,ASSAULT,BATTERY - SIMPLE ASSAULT
64871,VANDALISM,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"
90640,VANDALISM,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
296703,BURGLARY,BURGLARY
838349,VEHICLE STOLEN,VEHICLE - STOLEN
83862,THEFT,THEFT PLAIN - PETTY ($950 & UNDER)
228835,VEHICLE STOLEN,VEHICLE - STOLEN
426550,ASSAULT,INTIMATE PARTNER - SIMPLE ASSAULT
848695,VEHICLE STOLEN,VEHICLE - STOLEN
675049,THEFT,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD"
664668,BRANDISH WEAPON,BRANDISH WEAPON
168704,ASSAULT,INTIMATE PARTNER - AGGRAVATED ASSAULT
292909,BURGLARY,BURGLARY
294036,ASSAULT,BATTERY - SIMPLE ASSAULT
662792,THEFT,SHOPLIFTING - PETTY THEFT ($950 & UNDER)
730811,THEFT,THEFT PLAIN - PETTY ($950 & UNDER)
77291,THEFT,THEFT PLAIN - PETTY ($950 & UNDER)
96632,ASSAULT,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER
335430,THEFT,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
686559,THEFT,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
943019,THEFT,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD"
583658,"TELEPHONE CALLS, LEWD OR THREATENING","LETTERS, LEWD  -  TELEPHONE CALLS, LEWD"
13525,VANDALISM,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"
921418,VEHICLE STOLEN,VEHICLE - STOLEN
200153,ASSAULT,BATTERY - SIMPLE ASSAULT
295680,ASSAULT,BATTERY - SIMPLE ASSAULT
751279,KIDNAPPING,KIDNAPPING
522834,"TELEPHONE CALLS, LEWD OR THREATENING","LETTERS, LEWD  -  TELEPHONE CALLS, LEWD"
37916,"TELEPHONE CALLS, LEWD OR THREATENING","LETTERS, LEWD  -  TELEPHONE CALLS, LEWD"
860242,BRANDISH WEAPON,BRANDISH WEAPON
819198,VEHICLE STOLEN,VEHICLE - STOLEN
259381,SEXUAL CRIME,INDECENT EXPOSURE
503890,BURGLARY,BURGLARY
358727,THEFT,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)"
918319,THEFT,THEFT PLAIN - PETTY ($950 & UNDER)
260090,VEHICLE STOLEN,VEHICLE - STOLEN
964306,ASSAULT,BATTERY - SIMPLE ASSAULT
828713,TRESPASSING,TRESPASSING
513473,BURGLARY,BURGLARY FROM VEHICLE
728929,BURGLARY,BURGLARY FROM VEHICLE
735323,VEHICLE STOLEN,VEHICLE - STOLEN
654495,ASSAULT,BATTERY - SIMPLE ASSAULT
886375,ASSAULT,BATTERY - SIMPLE ASSAULT
719487,BURGLARY,BURGLARY FROM VEHICLE
740853,THEFT,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)
957990,ASSAULT,INTIMATE PARTNER - SIMPLE ASSAULT
491738,VIOLATION OF RESTRAINING ORDER,VIOLATION OF RESTRAINING ORDER
557524,THEFT,THEFT PLAIN - PETTY ($950 & UNDER)
57533,THEFT,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
898074,VANDALISM,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"
510934,VEHICLE STOLEN,VEHICLE - STOLEN
757637,VEHICLE STOLEN,VEHICLE - STOLEN
210485,THEFT,SHOPLIFTING - PETTY THEFT ($950 & UNDER)
737423,THEFT,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
380980,VEHICLE STOLEN,BIKE - STOLEN
650621,ASSAULT,BATTERY - SIMPLE ASSAULT
605635,ROBBERY,ROBBERY
34978,BURGLARY,BURGLARY FROM VEHICLE
599267,ASSAULT,OTHER ASSAULT
681589,BURGLARY,BURGLARY
586913,BURGLARY,BURGLARY FROM VEHICLE
248075,VEHICLE STOLEN,VEHICLE - STOLEN
744521,THEFT,THEFT PLAIN - PETTY ($950 & UNDER)
217100,THEFT,THEFT OF IDENTITY
418857,THEFT,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)
250361,THEFT,THEFT OF IDENTITY
