CrimeId,StreetId,DateTime
599290,1500 E 114TH ST,2022-07-07T10:00:00Z
980226,1500 E 114TH ST,2024-03-01T14:40:00Z
128961,1500 E 114TH ST,2020-01-22T03:00:00Z
193762,W 43RD PL,2020-06-24T12:00:00Z
895836,BERTH 73,2024-04-22T12:00:00Z
917064,BERTH 73,2024-07-03T08:28:00Z
249473,1300 W 39TH ST,2021-05-31T08:20:00Z
474892,1300 W 39TH ST,2022-11-23T12:12:00Z
500560,1300 W 39TH ST,2022-02-18T19:40:00Z
738604,1300 W 39TH ST,2023-10-27T08:45:00Z
363820,1300 W 39TH ST,2021-10-23T18:00:00Z
698394,1900 S FIGUEROA ST,2023-07-25T12:00:00Z
265824,1900 S FIGUEROA ST,2021-08-17T05:00:00Z
239398,1900 S FIGUEROA ST,2021-05-24T13:40:00Z
106691,1900 S FIGUEROA ST,2020-10-28T01:00:00Z
9925,1900 S FIGUEROA ST,2020-11-26T17:00:00Z
521817,1900 S FIGUEROA ST,2022-09-09T12:00:00Z
327052,1900 S FIGUEROA ST,2021-09-19T11:00:00Z
768216,1900 S FIGUEROA ST,2023-12-02T18:13:00Z
166460,1900 S FIGUEROA ST,2020-11-19T10:46:00Z
287699,3700 W 9TH ST,2021-07-21T16:00:00Z
370483,6900 COLDWATER CANYON AV,2021-01-13T01:30:00Z
551667,6900 COLDWATER CANYON AV,2022-01-25T23:45:00Z
356874,14600 GAULT ST,2021-01-18T05:00:00Z
324825,14600 GAULT ST,2021-10-10T22:00:00Z
309890,14600 GAULT ST,2021-01-07T01:30:00Z
699594,14600 GAULT ST,2023-09-03T10:00:00Z
196814,12900 FOOTHILL BL,2020-07-05T14:10:00Z
685884,12900 FOOTHILL BL,2023-02-21T14:15:00Z
786655,12900 FOOTHILL BL,2023-11-05T21:20:00Z
438285,12900 FOOTHILL BL,2022-01-12T10:00:00Z
459214,PICO BL,2022-01-29T01:28:00Z
219860,PICO BL,2021-03-20T20:10:00Z
909813,PICO BL,2024-01-11T19:00:00Z
19610,PICO BL,2020-07-07T04:25:00Z
626136,PICO BL,2022-08-25T19:40:00Z
465247,PICO BL,2022-05-22T21:00:00Z
410116,PICO BL,2022-11-08T20:00:00Z
684306,PICO BL,2023-07-10T14:10:00Z
831120,PICO BL,2023-11-25T19:55:00Z
335266,PICO BL,2021-03-12T09:35:00Z
296912,PICO BL,2021-11-24T21:30:00Z
953961,PICO BL,2024-01-31T15:00:00Z
441284,PICO BL,2022-10-07T07:00:00Z
743716,PICO BL,2023-04-11T04:30:00Z
252599,PICO BL,2021-09-15T03:00:00Z
773037,PICO BL,2023-05-24T21:30:00Z
685448,PICO BL,2023-11-22T00:05:00Z
841864,PICO BL,2023-10-13T18:40:00Z
156075,PICO BL,2020-02-09T11:30:00Z
317101,PICO BL,2021-01-22T10:20:00Z
951560,PICO BL,2024-01-27T02:00:00Z
339403,PICO BL,2021-07-26T22:04:00Z
170646,PICO BL,2020-11-07T17:45:00Z
469582,PICO BL,2022-07-07T17:02:00Z
212878,PICO BL,2021-12-30T18:55:00Z
97353,PICO BL,2020-05-11T08:30:00Z
127331,PICO BL,2020-08-07T19:15:00Z
914016,PICO BL,2024-06-19T09:30:00Z
672467,PICO BL,2023-01-27T19:00:00Z
323699,PICO BL,2021-01-08T14:00:00Z
617399,PICO BL,2022-09-12T22:00:00Z
974870,PICO BL,2022-11-26T23:30:00Z
247559,PICO BL,2021-02-24T18:55:00Z
316802,PICO BL,2021-08-02T19:25:00Z
413259,1400 S HOBART BL,2022-04-15T14:00:00Z
712387,1400 S HOBART BL,2023-10-03T06:37:00Z
532668,3800 GIBRALTAR AV,2022-12-03T16:20:00Z
254660,SUNSET,2021-10-17T14:15:00Z
902404,SUNSET,2024-07-01T16:00:00Z
94460,SUNSET,2020-04-30T03:10:00Z
235648,SUNSET,2021-05-13T23:00:00Z
320509,SUNSET,2021-02-06T20:15:00Z
867098,SUNSET,2023-09-22T02:45:00Z
395742,SUNSET,2021-02-01T07:40:00Z
470443,SUNSET,2022-09-20T10:30:00Z
964770,SUNSET,2020-06-12T16:07:00Z
446974,SUNSET,2022-03-31T23:10:00Z
635971,SUNSET,2022-01-15T03:15:00Z
191230,SUNSET,2020-12-19T14:00:00Z
966151,SUNSET,2020-10-04T19:00:00Z
518334,SUNSET,2022-06-14T00:01:00Z
482412,SUNSET,2022-10-12T02:30:00Z
240684,SUNSET,2021-12-06T21:50:00Z
604938,SUNSET,2022-04-22T08:10:00Z
20523,SUNSET,2020-09-26T07:25:00Z
735012,SUNSET,2023-04-16T20:00:00Z
200690,SUNSET,2021-11-05T04:55:00Z
523861,SUNSET,2022-08-29T00:10:00Z
686024,SUNSET,2023-10-25T06:00:00Z
695739,SUNSET,2023-11-29T11:30:00Z
291567,SUNSET,2021-02-09T17:00:00Z
694494,SUNSET,2023-10-26T11:49:00Z
501347,SUNSET,2022-11-30T17:50:00Z
268827,SUNSET,2021-02-11T23:00:00Z
396310,SUNSET,2021-05-06T12:40:00Z
135065,SUNSET,2020-05-17T01:00:00Z
325027,SUNSET,2021-03-25T01:30:00Z
136524,SUNSET,2020-12-19T15:30:00Z
697860,SUNSET,2023-11-11T01:20:00Z
933958,SUNSET,2024-03-05T07:40:00Z
686481,SUNSET,2023-03-29T20:26:00Z
265064,SUNSET,2021-01-20T17:55:00Z
690935,SUNSET,2023-01-01T12:00:00Z
583892,SUNSET,2022-06-20T12:00:00Z
628326,6900 S FIGUEROA ST,2022-10-05T12:18:00Z
355364,6900 S FIGUEROA ST,2021-06-11T21:30:00Z
390647,6900 S FIGUEROA ST,2021-01-30T03:00:00Z
774945,6900 S FIGUEROA ST,2023-02-07T18:05:00Z
328070,6900 S FIGUEROA ST,2021-08-22T02:25:00Z
403859,6900 S FIGUEROA ST,2021-09-17T16:00:00Z
935231,2600 S DOLPHIN ST,2024-07-05T02:40:00Z
858372,3RD,2023-07-17T13:40:00Z
703005,3RD,2023-06-21T15:00:00Z
806311,3RD,2023-03-10T21:30:00Z
16685,3RD,2020-06-07T11:20:00Z
489473,3RD,2022-02-23T08:00:00Z
101067,3RD,2020-07-20T00:01:00Z
587452,3RD,2022-08-24T17:00:00Z
868362,3RD,2023-01-18T14:00:00Z
42565,3RD,2020-07-12T20:00:00Z
817261,3RD,2023-02-15T19:20:00Z
664410,3RD,2023-08-25T15:00:00Z
607340,3RD,2022-04-09T18:00:00Z
489213,3RD,2022-06-08T00:01:00Z
115884,3RD,2020-11-23T17:13:00Z
626387,3RD,2022-09-21T15:42:00Z
154940,3RD,2020-07-17T09:15:00Z
52957,3RD,2020-01-28T16:00:00Z
76160,3RD,2020-05-08T18:00:00Z
274130,3RD,2021-11-22T22:30:00Z
494863,3RD,2022-12-08T17:00:00Z
549781,3RD,2022-12-21T20:00:00Z
129700,3RD,2020-06-11T17:30:00Z
240761,3RD,2021-01-09T20:40:00Z
208161,3RD,2021-07-19T19:31:00Z
236270,3RD,2021-03-01T00:01:00Z
959552,3RD,2024-01-23T20:00:00Z
530320,3RD,2022-12-19T16:00:00Z
805739,3RD,2023-11-23T20:40:00Z
35134,3RD,2020-11-15T08:30:00Z
637608,3RD,2022-03-30T18:00:00Z
292323,3RD,2021-10-22T22:35:00Z
186556,3RD,2020-04-23T03:50:00Z
341673,3RD,2021-04-21T19:15:00Z
510030,3RD,2022-07-20T18:00:00Z
71367,3RD,2020-12-14T18:45:00Z
797826,3RD,2023-03-02T19:05:00Z
101866,3RD,2020-04-02T20:40:00Z
814805,3RD,2023-08-31T00:01:00Z
289008,3RD,2021-09-12T06:30:00Z
408968,3RD,2021-07-21T12:00:00Z
60243,3RD,2020-06-01T16:00:00Z
581388,3RD,2022-09-16T20:30:00Z
772893,3RD,2023-06-01T21:30:00Z
970676,3RD,2021-11-26T11:05:00Z
818412,3RD,2023-07-30T11:30:00Z
